"Artist";"Album";"Song";"Year";"Label";"start";"end";"spotify";"itunes";"deezer"
"Guillaume Perret";"Free";"En good";2016;"KAKOUM";1711285196;1711285461;"https://open.spotify.com/track/6dNrFVgeDWLHK9n6iUgSFB";"https://music.apple.com/fr/album/en-good/1100789311?i=1100789557&uo=4";"https://www.deezer.com/track/126526615"
"Dexter Gordon";"Les incontournables / Dexter Gordon";"Sticky wicket";1969;"Warner Music France";1711285461;1711285884;;"https://music.apple.com/fr/album/sticky-wicket/1732549214?i=1732549392&uo=4";
"Jose James";"For all we know";"Just squeeze me";2010;"UNIVERSAL MUSIC COMPAGNY";1711285883;1711286136;"https://open.spotify.com/track/3bNvPfZgzeqcG3PC1HH7Ji";;
"Dhafer Youssef";"Abu Nawas Rhapsody";"Hayastan dance";2010;"Jazzland";1711286133;1711286430;"https://open.spotify.com/track/2Yifl4KPyLwyOcXllbVJ9f";;
"Philippe Laudet";"Beautiful Love";"Agami l'oiseau trompette";1994;"DJAZ";1711286428;1711286745;;;
"Betty Carter";"The complete 1948-1961";"I don't want to set the world on fire";;"LE CHANT DU MONDE";1711286744;1711286886;"https://open.spotify.com/track/6VIOncFp4TIzlyT8Dla8iC";"https://music.apple.com/fr/album/i-dont-want-to-set-the-world-on-fire/895512374?i=895512419&uo=4";"https://www.deezer.com/track/94632830"
"Hichem Khalfa";"Histoires sans mots";"La valse des 2 oiseaux";2015;"LE LAB";1711286886;1711287267;"https://open.spotify.com/track/23AMxUMWjvzEzy4BEXaxwx";"https://music.apple.com/fr/album/la-valse-des-2-oiseaux/965314653?i=965315024&uo=4";
"Jack Dejohnette";"Special edition";"India";1980;"ECM";1711287266;1711287618;;;
"Pyeng Threadgill";"Of the air";"It's late";2005;"RANDOMCHANCE";1711287616;1711287940;"https://open.spotify.com/track/5sEKRID7dBijGMik2isOi7";"https://music.apple.com/fr/album/its-late/90651197?i=90649837&uo=4";
"Jackie McLean";"The Blue Note years";"Nicely";1962;"BLUE NOTE";1711287937;1711288321;;"https://music.apple.com/fr/album/nicely/1617106179?i=1617106516&uo=4";"https://www.deezer.com/track/1704784717"
